Country,Country.code,Region,GEO,Area,Decline,Population (2018),Land Area (KM2),Area (km2),Density (2018),Prop_sixtyfive,ForeignBornPopulation,Note,Unemploy rate,Note,RU_Class,Altitude,Proximity_Capital,Proximity_UrbanArea (> 1mil),Proximity_UrbanArea (km),Coast,Proximity_Coast,Proximity_Coast(km)
Austria,AT,W,AT213,Unterkärnten,1,149930,3342,3375,45.80011969,19.1377463,6.479037828,,4.3,NUTS 2 level,3,147.0632762,0.959889634,157926.1887,157.9261887,0,43499.78215,43.49978215
Austria,AT,W,AT211,Klagenfurt-Villach,0,286579,1958,2030,140.9627171,19.03987247,12.57925254,,4.3,NUTS 2 level,2,140.3290703,11.63414589,197205.4279,197.2054279,0,0,0
Austria,AT,W,AT323,Salzburg und Umgebung,0,364797,1687,1738,204.3082395,16.83475112,17.79758499,,2.9,NUTS 2 level,2,139.9604585,147.1675471,86166.25573,86.16625573,0,97972.49282,97.97249282
Austria,AT,W,AT315,Traunviertel,0,236572,2390,2516,95.94225941,17.63961937,,,3.4,NUTS 2 level,3,137.1397849,136.8529185,117884.9693,117.8849693,0,100472.9259,100.4729259
Austria,AT,W,AT342,Rheintal-Bodenseegebiet,0,300342,678,726,415.0825959,15.20719479,17.88553203,,4.1,NUTS 2 level,1,135.6018893,96.09399451,41630.49004,41.63049004,0,221815.3032,221.8153032
Austria,AT,W,AT314,Steyr-Kirchdorf,0,155445,2214,2238,68.92818428,18.08632632,10.54098726,,3.4,NUTS 2 level,3,134.3764496,139.1666667,110207.2547,110.2072547,0,123923.0238,123.9230238
Austria,AT,W,AT122,Niederösterreich-Süd,0,259630,3348,3368,75.46923536,19.15099081,12.11320039,,4.5,NUTS 2 level,2,131.4463863,16.22431442,16224.31442,16.22431442,0,181418.0143,181.4180143
Austria,AT,W,AT313,Mühlviertel,0,208483,2630,2660,77.54904943,15.65451033,5.529759806,,3.4,NUTS 2 level,3,128.3413443,88.81762087,88817.62087,88.81762087,0,195925.3752,195.9253752
Austria,AT,W,AT225,West- und Südsteiermark,0,194100,2237,2267,85.00447027,18.12048066,5.882662402,,3.6,NUTS 2 level,3,125.556239,45.57235054,129680.4599,129.6804599,0,100648.8494,100.6488494
Austria,AT,W,AT221,Graz,0,439236,1200,1212,334.3575,17.10394812,15.76166172,,3.6,NUTS 2 level,2,124.6702479,81.63238804,109428.4858,109.4284858,0,127395.2087,127.3952087
Austria,AT,W,AT124,Waldviertel,1,218161,4553,4615,48.20206457,20.71455911,5.450918052,,4.5,NUTS 2 level,3,123.2421418,37.20801101,37208.01101,37.20801101,0,225473.0642,225.4730642
Austria,AT,W,AT224,Oststeiermark,1,266518,3296,3329,80.95600728,17.75730706,4.944527736,,3.6,NUTS 2 level,3,118.8134172,66.31693199,66316.93199,66.31693199,0,140966.4988,140.9664988
Austria,AT,W,AT121,Mostviertel-Eisenwurzen,0,246050,3301,3356,73.00727052,17.29606593,5.799961853,,4.5,NUTS 2 level,3,118.5720238,49.48295031,49482.95031,49.48295031,0,155758.8286,155.7588286
